offline_datapoint_0 1646085502 23,079
offline_datapoint_0 1646085505 6,704
offline_datapoint_0 1646085508 5,786
offline_datapoint_0 1646085511 4,843
offline_datapoint_0 1646085514 6,277
offline_datapoint_0 1646085517 5,822
offline_datapoint_0 1646085520 6,803
offline_datapoint_0 1646085523 4,802
offline_datapoint_0 1646085526 6,016
offline_datapoint_0 1646085529 17,769
offline_datapoint_0 1646085532 7,989
offline_datapoint_0 1646085535 4,924
offline_datapoint_0 1646085538 5,857
offline_datapoint_0 1646085541 3,935
offline_datapoint_0 1646085544 5,836
offline_datapoint_0 1646085547 3,814
offline_datapoint_0 1646085550 4,907
offline_datapoint_0 1646085553 5,885
offline_datapoint_0 1646085556 4,287
offline_datapoint_0 1646085559 5,078
offline_datapoint_0 1646085562 4,972
offline_datapoint_0 1646085565 5,454
offline_datapoint_0 1646085568 6,085
offline_datapoint_0 1646085571 4,845
offline_datapoint_0 1646085574 5,362
offline_datapoint_0 1646085577 4,680
offline_datapoint_0 1646085580 3,669
offline_datapoint_0 1646085583 4,947
offline_datapoint_0 1646085586 4,688
offline_datapoint_0 1646085589 4,386
offline_datapoint_0 1646085592 5,231
offline_datapoint_0 1646085595 16,052
offline_datapoint_0 1646085598 12,112
offline_datapoint_0 1646085601 5,495
offline_datapoint_0 1646085604 5,593
offline_datapoint_0 1646085607 5,453
offline_datapoint_0 1646085610 3,507
offline_datapoint_0 1646085613 4,824
offline_datapoint_0 1646085616 4,708
offline_datapoint_0 1646085619 4,158
offline_datapoint_0 1646085622 3,539
offline_datapoint_0 1646085625 4,688
offline_datapoint_0 1646085628 5,328
offline_datapoint_0 1646085631 3,892
offline_datapoint_0 1646085634 8,976
offline_datapoint_0 1646085637 4,970
offline_datapoint_0 1646085640 5,849
offline_datapoint_0 1646085643 5,232
offline_datapoint_0 1646085646 6,376
offline_datapoint_0 1646085649 4,539
offline_datapoint_0 1646085652 4,946
offline_datapoint_0 1646085655 4,815
offline_datapoint_0 1646085658 6,144
offline_datapoint_0 1646085661 19,677
offline_datapoint_0 1646085664 11,753
offline_datapoint_0 1646085667 4,816
offline_datapoint_0 1646085670 4,286
offline_datapoint_0 1646085673 5,066
offline_datapoint_0 1646085676 5,210
offline_datapoint_0 1646085679 4,584
offline_datapoint_0 1646085682 3,632
offline_datapoint_0 1646085685 4,582
offline_datapoint_0 1646085688 4,137
offline_datapoint_0 1646085691 5,223
offline_datapoint_0 1646085694 4,032
offline_datapoint_0 1646085697 4,557
offline_datapoint_0 1646085700 4,976
offline_datapoint_0 1646085703 5,166
offline_datapoint_0 1646085706 11,997
offline_datapoint_0 1646085709 8,188
offline_datapoint_0 1646085712 5,093
offline_datapoint_0 1646085715 8,352
offline_datapoint_0 1646085718 10,701
offline_datapoint_0 1646085721 4,262
offline_datapoint_0 1646085724 9,018
offline_datapoint_0 1646085727 18,393
offline_datapoint_0 1646085730 15,506
offline_datapoint_0 1646085733 5,973
offline_datapoint_0 1646085736 5,053
offline_datapoint_0 1646085739 5,491
offline_datapoint_0 1646085742 3,746
offline_datapoint_0 1646085745 5,756
offline_datapoint_0 1646085748 4,716
offline_datapoint_0 1646085751 4,678
offline_datapoint_0 1646085754 4,687
offline_datapoint_0 1646085757 4,672
offline_datapoint_0 1646085760 5,235
offline_datapoint_0 1646085763 5,302
offline_datapoint_0 1646085766 6,277
offline_datapoint_0 1646085769 4,712
offline_datapoint_0 1646085772 4,157
offline_datapoint_0 1646085775 5,817
offline_datapoint_0 1646085778 4,588
offline_datapoint_0 1646085781 5,235
offline_datapoint_0 1646085784 5,298
offline_datapoint_0 1646085787 5,104
offline_datapoint_0 1646085790 10,443
offline_datapoint_0 1646085793 15,246
offline_datapoint_0 1646085796 8,937
offline_datapoint_0 1646085799 4,711
offline_datapoint_0 1646085802 5,234
offline_datapoint_0 1646085805 5,043
offline_datapoint_0 1646085808 4,197
offline_datapoint_0 1646085811 4,447
offline_datapoint_0 1646085814 6,371
offline_datapoint_0 1646085817 7,119
offline_datapoint_0 1646085820 5,497
offline_datapoint_0 1646085823 8,233
offline_datapoint_0 1646085826 32,932
offline_datapoint_0 1646085829 34,304
offline_datapoint_0 1646085832 29,867
offline_datapoint_0 1646085835 29,195
offline_datapoint_0 1646085838 17,104
offline_datapoint_0 1646085841 4,902
offline_datapoint_0 1646085844 4,717
offline_datapoint_0 1646085847 4,131
offline_datapoint_0 1646085850 5,235
offline_datapoint_0 1646085853 4,712
offline_datapoint_0 1646085856 8,587
