379 1646085503 0,000394 0,600000 0,000240 0,000511 0,000000
376 1646085503 3,344554 0,400000 3,012522 3,676585 4,518513
379 1646085504 0,000394 0,600000 0,000240 0,000511 0,000000
376 1646085504 3,344554 0,400000 3,012522 3,676585 4,518513
379 1646085505 0,000394 0,600000 0,000240 0,000511 0,000000
376 1646085505 3,344554 0,400000 3,012522 3,676585 4,518513
379 1646085506 0,000394 0,600000 0,000240 0,000511 0,000000
376 1646085506 3,344554 0,400000 3,012522 3,676585 4,518513
379 1646085507 0,000394 0,600000 0,000240 0,000511 0,000000
376 1646085507 3,344554 0,400000 3,012522 3,676585 4,518513
382 1646085508 3,609839 0,600000 2,946402 4,029701 7,953716
376 1646085508 3,770687 0,200000 3,770687 3,770687 2,843616
382 1646085509 3,609839 0,600000 2,946402 4,029701 7,953716
376 1646085509 3,770687 0,200000 3,770687 3,770687 2,843616
382 1646085510 3,609839 0,600000 2,946402 4,029701 7,953716
376 1646085510 3,770687 0,200000 3,770687 3,770687 2,843616
382 1646085511 3,609839 0,600000 2,946402 4,029701 7,953716
376 1646085511 3,770687 0,200000 3,770687 3,770687 2,843616
382 1646085512 3,609839 0,600000 2,946402 4,029701 7,953716
376 1646085512 3,770687 0,200000 3,770687 3,770687 2,843616
409 1646085513 3,161534 0,200000 3,161534 3,161534 1,999060
399 1646085513 4,318361 0,200000 4,318361 4,318361 3,729648
402 1646085513 2,533836 0,200000 2,533836 2,533836 1,284065
409 1646085514 3,161534 0,200000 3,161534 3,161534 1,999060
399 1646085514 4,318361 0,200000 4,318361 4,318361 3,729648
402 1646085514 2,533836 0,200000 2,533836 2,533836 1,284065
409 1646085515 3,161534 0,200000 3,161534 3,161534 1,999060
399 1646085515 4,318361 0,200000 4,318361 4,318361 3,729648
402 1646085515 2,533836 0,200000 2,533836 2,533836 1,284065
409 1646085516 3,161534 0,200000 3,161534 3,161534 1,999060
399 1646085516 4,318361 0,200000 4,318361 4,318361 3,729648
402 1646085516 2,533836 0,200000 2,533836 2,533836 1,284065
409 1646085517 3,161534 0,200000 3,161534 3,161534 1,999060
399 1646085517 4,318361 0,200000 4,318361 4,318361 3,729648
402 1646085517 2,533836 0,200000 2,533836 2,533836 1,284065
406 1646085518 8,657503 0,200000 8,657503 8,657503 14,990473
406 1646085519 8,657503 0,200000 8,657503 8,657503 14,990473
