396 1646085504 0,000000 0,000000 -101,000000 0,000000 0,000000
396 1646085505 0,000000 0,000000 -101,000000 0,000000 0,000000
396 1646085506 0,000000 0,000000 -101,000000 0,000000 0,000000
396 1646085507 0,000000 0,000000 -101,000000 0,000000 0,000000
396 1646085508 7,000000 0,600000 4,200000 4,200000 -20,200000
396 1646085509 7,000000 0,600000 8,400000 8,400000 -20,200000
396 1646085510 7,000000 0,600000 12,600000 12,600000 -20,200000
396 1646085511 7,000000 0,600000 16,800000 16,800000 -20,200000
396 1646085512 7,000000 0,600000 21,000000 21,000000 -20,200000
396 1646085513 -0,666667 1,200000 20,200000 20,200000 -20,200000
396 1646085514 -0,666667 1,200000 19,400000 19,400000 -20,200000
396 1646085515 -0,666667 1,200000 18,600000 18,600000 -20,200000
396 1646085516 -0,666667 1,200000 17,800000 17,800000 -20,200000
396 1646085517 -0,666667 1,200000 17,000000 17,000000 -20,200000
396 1646085518 -0,625000 1,600000 16,000000 16,000000 -20,200000
396 1646085519 -0,625000 1,600000 15,000000 15,000000 -20,200000
396 1646085520 -0,625000 1,600000 14,000000 14,000000 -20,200000
396 1646085521 -0,625000 1,600000 13,000000 13,000000 -20,200000
396 1646085522 -0,625000 1,600000 12,000000 12,000000 -20,200000
396 1646085523 0,111111 1,800000 12,200000 12,200000 -20,200000
396 1646085524 0,111111 1,800000 12,400000 12,400000 -20,200000
396 1646085525 0,111111 1,800000 12,600000 12,600000 -20,200000
396 1646085526 0,111111 1,800000 12,800000 12,800000 -20,200000
396 1646085527 0,111111 1,800000 13,000000 13,000000 -20,200000
396 1646085528 -0,100000 2,000000 12,800000 12,800000 -20,200000
396 1646085529 -0,100000 2,000000 12,600000 12,600000 -20,200000
396 1646085530 -0,100000 2,000000 12,400000 12,400000 -20,200000
396 1646085531 -0,100000 2,000000 12,200000 12,200000 -20,200000
396 1646085532 -0,100000 2,000000 12,000000 12,000000 -20,200000
396 1646085533 0,000000 2,200000 12,000000 12,000000 -20,200000
396 1646085534 0,000000 2,200000 12,000000 12,000000 -20,200000
396 1646085535 0,000000 2,200000 12,000000 12,000000 -20,200000
396 1646085536 0,000000 2,200000 12,000000 12,000000 -20,200000
396 1646085537 0,000000 2,200000 12,000000 12,000000 -20,200000
396 1646085538 0,384615 2,600000 13,000000 13,000000 -20,200000
396 1646085539 0,384615 2,600000 14,000000 14,000000 -20,200000
396 1646085540 0,384615 2,600000 15,000000 15,000000 -20,200000
396 1646085541 0,384615 2,600000 16,000000 16,000000 -20,200000
396 1646085542 0,384615 2,600000 17,000000 17,000000 -20,200000
396 1646085543 -0,285714 2,800000 16,200000 16,200000 -20,200000
396 1646085544 -0,285714 2,800000 15,400000 15,400000 -20,200000
396 1646085545 -0,285714 2,800000 14,600000 14,600000 -20,200000
396 1646085546 -0,285714 2,800000 13,800000 13,800000 -20,200000
396 1646085547 -0,285714 2,800000 13,000000 13,000000 -20,200000
396 1646085548 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085549 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085550 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085551 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085552 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085553 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085554 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085555 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085556 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085557 0,000000 3,000000 13,000000 13,000000 -20,200000
396 1646085558 0,000000 3,200000 13,000000 13,000000 -20,200000
