393 1646085503 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085504 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085508 34,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085509 34,600000 -1,000000 -101,000000 0,000000 0,000000
393 1646085505 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085506 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085507 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085508 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085509 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085510 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085511 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085512 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085513 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085514 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085510 34,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085511 34,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085512 34,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085513 9,000000 -1,000000 -101,000000 0,000000 0,000000
388 1646085514 9,000000 -1,000000 -101,000000 0,000000 0,000000
388 1646085515 9,000000 -1,000000 -101,000000 0,000000 0,000000
388 1646085516 9,000000 -1,000000 -101,000000 0,000000 0,000000
388 1646085517 9,000000 -1,000000 -101,000000 0,000000 0,000000
388 1646085518 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085519 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085520 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085521 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085522 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085523 1,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085524 1,600000 -1,000000 -101,000000 0,000000 0,000000
393 1646085515 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085516 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085517 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085518 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085519 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085520 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085521 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085522 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085523 0,200000 -1,000000 -101,000000 0,000000 0,000000
